2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [12246 8/11/2005 11:07:54 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,31744,Karoo,15463,BREWER,Nevil,6,,NGST,No GST,24,0.77
VIC,197,Aston,31744,Karoo,15161,AYLIFFE,Nahum,7,,DEM,Democrats,29,-5.35
VIC,197,Aston,31744,Karoo,999,Informal,Informal,999,,,Informal,155,1.53
VIC,197,Aston,2957,Kent Park,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,10,0.44
VIC,197,Aston,2957,Kent Park,15032,ABSON,Michael,2,,GRN,Australian Greens,69,1.8
VIC,197,Aston,2957,Kent Park,14771,NATHAN,Peter,3,,FFP,Family First,38,2.95
VIC,197,Aston,2957,Kent Park,14255,PEARCE,Chris,4,#,LP,Liberal,748,6.62
VIC,197,Aston,2957,Kent Park,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,395,-5.49
VIC,197,Aston,2957,Kent Park,15463,BREWER,Nevil,6,,NGST,No GST,12,0.93
VIC,197,Aston,2957,Kent Park,15161,AYLIFFE,Nahum,7,,DEM,Democrats,15,-5.88
VIC,197,Aston,2957,Kent Park,999,Informal,Informal,999,,,Informal,61,1.35
VIC,197,Aston,2958,Knox Gardens,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,26,0.53
VIC,197,Aston,2958,Knox Gardens,15032,ABSON,Michael,2,,GRN,Australian Greens,119,1.37
VIC,197,Aston,2958,Knox Gardens,14771,NATHAN,Peter,3,,FFP,Family First,112,3.69
VIC,197,Aston,2958,Knox Gardens,14255,PEARCE,Chris,4,#,LP,Liberal,1756,6.64
VIC,197,Aston,2958,Knox Gardens,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,982,-4.66
VIC,197,Aston,2958,Knox Gardens,15463,BREWER,Nevil,6,,NGST,No GST,11,0.36
VIC,197,Aston,2958,Knox Gardens,15161,AYLIFFE,Nahum,7,,DEM,Democrats,27,-6.82
VIC,197,Aston,2958,Knox Gardens,999,Informal,Informal,999,,,Informal,122,1.1
VIC,197,Aston,2956,Knoxfield,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,18,0.28
VIC,197,Aston,2956,Knoxfield,15032,ABSON,Michael,2,,GRN,Australian Greens,147,0.04
VIC,197,Aston,2956,Knoxfield,14771,NATHAN,Peter,3,,FFP,Family First,94,3.16
VIC,197,Aston,2956,Knoxfield,14255,PEARCE,Chris,4,#,LP,Liberal,1675,10.65
VIC,197,Aston,2956,Knoxfield,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,960,-7.48
VIC,197,Aston,2956,Knoxfield,15463,BREWER,Nevil,6,,NGST,No GST,20,0.67
VIC,197,Aston,2956,Knoxfield,15161,AYLIFFE,Nahum,7,,DEM,Democrats,62,-5.84
VIC,197,Aston,2956,Knoxfield,999,Informal,Informal,999,,,Informal,135,1.14
VIC,197,Aston,2959,Lysterfield,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,8,0.15
VIC,197,Aston,2959,Lysterfield,15032,ABSON,Michael,2,,GRN,Australian Greens,51,0.05
VIC,197,Aston,2959,Lysterfield,14771,NATHAN,Peter,3,,FFP,Family First,53,2.55
VIC,197,Aston,2959,Lysterfield,14255,PEARCE,Chris,4,#,LP,Liberal,1455,12.97
VIC,197,Aston,2959,Lysterfield,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,484,-9.26
VIC,197,Aston,2959,Lysterfield,15463,BREWER,Nevil,6,,NGST,No GST,10,0.48
VIC,197,Aston,2959,Lysterfield,15161,AYLIFFE,Nahum,7,,DEM,Democrats,19,-5.54
VIC,197,Aston,2959,Lysterfield,999,Informal,Informal,999,,,Informal,81,0.35
VIC,197,Aston,31993,Melbourne (Aston),14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,0,0
VIC,197,Aston,31993,Melbourne (Aston),15032,ABSON,Michael,2,,GRN,Australian Greens,7,2.4
VIC,197,Aston,31993,Melbourne (Aston),14771,NATHAN,Peter,3,,FFP,Family First,1,1.61
VIC,197,Aston,31993,Melbourne (Aston),14255,PEARCE,Chris,4,#,LP,Liberal,30,1.72
VIC,197,Aston,31993,Melbourne (Aston),14647,MORGAN,Paul,5,,ALP,Australian Labor Party,21,-1.69
VIC,197,Aston,31993,Melbourne (Aston),15463,BREWER,Nevil,6,,NGST,No GST,2,3.23
VIC,197,Aston,31993,Melbourne (Aston),15161,AYLIFFE,Nahum,7,,DEM,Democrats,1,-5.06
VIC,197,Aston,31993,Melbourne (Aston),999,Informal,Informal,999,,,Informal,0,-4.26
VIC,197,Aston,2960,Morack,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,7,-0.22
VIC,197,Aston,2960,Morack,15032,ABSON,Michael,2,,GRN,Australian Greens,149,1.33
VIC,197,Aston,2960,Morack,14771,NATHAN,Peter,3,,FFP,Family First,48,2.48
VIC,197,Aston,2960,Morack,14255,PEARCE,Chris,4,#,LP,Liberal,1121,4.47
VIC,197,Aston,2960,Morack,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,581,-1.66
VIC,197,Aston,2960,Morack,15463,BREWER,Nevil,6,,NGST,No GST,6,0.31
VIC,197,Aston,2960,Morack,15161,AYLIFFE,Nahum,7,,DEM,Democrats,23,-5.86
VIC,197,Aston,2960,Morack,999,Informal,Informal,999,,,Informal,78,1.04
VIC,197,Aston,2961,Mountain Gate,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,20,0.28
VIC,197,Aston,2961,Mountain Gate,15032,ABSON,Michael,2,,GRN,Australian Greens,187,1.48
VIC,197,Aston,2961,Mountain Gate,14771,NATHAN,Peter,3,,FFP,Family First,105,3.13
VIC,197,Aston,2961,Mountain Gate,14255,PEARCE,Chris,4,#,LP,Liberal,1855,10.13
VIC,197,Aston,2961,Mountain Gate,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,1116,-6.95
VIC,197,Aston,2961,Mountain Gate,15463,BREWER,Nevil,6,,NGST,No GST,28,0.83
VIC,197,Aston,2961,Mountain Gate,15161,AYLIFFE,Nahum,7,,DEM,Democrats,49,-7.6
VIC,197,Aston,2961,Mountain Gate,999,Informal,Informal,999,,,Informal,203,1.3
