UniqueIdentifier,ALP_Wills,LP_Wills,GRN_Wills,ALP_NAT,ALP_NSW,ALP_QLD,ALP_SA,ALP_TAS,ALP_VIC,ALP_WA,GRN_NAT,GRN_NSW,GRN_QLD,GRN_SA,GRN_TAS,GRN_VIC,GRN_WA,LNP_NSW,LNP_QLD,LNP_SA,LNP_TAS,LNP_VIC,LNP_WA,LNP_NAT
GRN_NSW,-0.3931447927392337,-0.4916538779050524,0.49830144528000136,-0.31427371852597286,-0.3855646641300815,-0.4084936202995633,-0.12122550227827052,-0.2804756344524568,-0.18917340092170495,0.06037900788137134,0.9308174562465228,1.0,0.9016473606112209,0.8177062242885227,0.6140264971563316,0.7858993318623948,0.873418403921378,-0.42058610542369984,-0.735965068979882,-0.6811754488410797,-0.8501099498734636,-0.6880312089486522,-0.44304880159913795,-0.9232057014238667
GRN_QLD,-0.592548845522653,-0.8097062449991035,0.7250177523444528,-0.5282945353794091,-0.5229094073522418,-0.6251645669435323,-0.29494444662650543,-0.6084743920591601,-0.4337925296806608,-0.010076173322032771,0.9792402977620692,0.9016473606112209,1.0,0.8608954352989476,0.37358449223784634,0.8864124089580341,0.9137265810313242,-0.5748438112681548,-0.47975501031415474,-0.7893711003585985,-0.9415746357158524,-0.8780564172575566,-0.6429528207275815,-0.8592942831624057
GRN_SA,-0.2709265051449491,-0.6531804331656763,0.40912873352275825,-0.36594913171331317,-0.43405541776628115,-0.45545489180653764,0.06918588477489285,-0.5173620751107204,-0.24818152952787112,-0.043859660289210775,0.8614773829638358,0.8177062242885227,0.8608954352989476,1.0,0.5054024493160242,0.6869249721541592,0.7516176625304279,-0.4132849439841683,-0.6113948804667315,-0.48360720964756504,-0.7711495223557217,-0.8460119880197993,-0.5449522709493198,-0.8668847826691976
GRN_TAS,0.3987310157768344,0.06447899719852843,-0.2100715640418832,0.5265974043716473,0.4247198315331643,0.4130445727136269,0.6655559477703256,0.3791311386610316,0.6233074357208821,0.2794724126459584,0.4266918797010076,0.6140264971563316,0.37358449223784634,0.5054024493160242,1.0,0.16499754922541526,0.43515074570019313,-0.25902076087888476,-0.84396035009189,-0.2367209829441088,-0.5157335758724597,-0.3225277104951362,-0.019793835180617905,-0.7798058488613877
GRN_VIC,-0.8122952462297547,-0.8104293517570159,0.9062619205548339,-0.6632278010672307,-0.5768277870005873,-0.7052522438793657,-0.5191310780821773,-0.6336315319099044,-0.6075590252099279,-0.26160157946946333,0.9331818946770531,0.7858993318623948,0.8864124089580341,0.6869249721541592,0.16499754922541526,1.0,0.9498285986922514,-0.3632521546993859,-0.40736019313285843,-0.872636344053288,-0.8545520952938602,-0.7318454925450449,-0.4064491814127574,-0.692969194220955
GRN_WA,-0.6052618439232735,-0.7291059744939701,0.7710169224374811,-0.44984105475152364,-0.3981819320430128,-0.5394625845295823,-0.2750121493082987,-0.4366574556900874,-0.33898775069775083,-0.2278124153670111,0.9652257489721654,0.873418403921378,0.9137265810313242,0.7516176625304279,0.43515074570019313,0.9498285986922514,1.0,-0.3652669901407719,-0.623429897322489,-0.8439910179346697,-0.9405464245310856,-0.7334782284549092,-0.32767883058894637,-0.8386444343637506
LNP_NSW,0.2974944794698922,0.5771220295885887,-0.35551452545631956,0.02316061615630084,-0.058855648009182894,0.04878737635545148,0.062132113196336713,0.5193332922808834,0.2032168514910648,-0.7165219918981361,-0.47435022544680694,-0.42058610542369984,-0.5748438112681548,-0.4132849439841683,-0.25902076087888476,-0.3632521546993859,-0.3652669901407719,1.0,-0.09465770746434427,0.6618398385487557,0.6138883142948979,0.779924789761078,0.8836242425967078,0.547351550507735
LNP_QLD,-0.15311342412460852,0.013265595852457613,-0.014724746899251236,-0.14579559489662328,-0.019786590307760605,-0.03356549442896481,-0.3909183254086989,-0.2902204511074337,-0.3642573302068496,0.198164945092633,-0.5859096968091382,-0.735965068979882,-0.47975501031415474,-0.6113948804667315,-0.84396035009189,-0.40736019313285843,-0.623429897322489,-0.09465770746434427,1.0,0.234247313534202,0.5335388732207477,0.24963019434243205,-0.1809803068249365,0.7583490662172355
LNP_SA,0.7401893557637138,0.7540297480852973,-0.8377160366183409,0.3767490633699584,0.22467497581076634,0.4043541729745089,0.433793205476806,0.5477190148368914,0.45215467454624914,-0.12171851339267802,-0.8098216748376142,-0.6811754488410797,-0.7893711003585985,-0.48360720964756504,-0.2367209829441088,-0.872636344053288,-0.8439910179346697,0.6618398385487557,0.234247313534202,1.0,0.8630061311994259,0.7440399721921424,0.5227506449275366,0.6725358583018567
LNP_TAS,0.49446288090654344,0.7787275684641877,-0.6921849803696479,0.30496046161551926,0.24804442134781524,0.4164815454644875,0.1440717455698667,0.46340445101636474,0.2342471274385981,-0.021312020016016658,-0.9394991143704438,-0.8501099498734636,-0.9415746357158524,-0.7711495223557217,-0.5157335758724597,-0.8545520952938602,-0.9405464245310856,0.6138883142948979,0.5335388732207477,0.8630061311994259,1.0,0.8546849616469298,0.52460701835066,0.8942399782937814
LNP_VIC,0.48116331537657986,0.8694994382615329,-0.6122830905606348,0.37529792184675975,0.31661230314474514,0.43511017535095436,0.1147346894000979,0.7451185429250576,0.41048631526646273,-0.2130838780123986,-0.8317138647862745,-0.6880312089486522,-0.8780564172575566,-0.8460119880197993,-0.3225277104951362,-0.7318454925450449,-0.7334782284549092,0.779924789761078,0.24963019434243205,0.7440399721921424,0.8546849616469298,1.0,0.8065213684635749,0.7919675998834351
LNP_WA,0.42791950852641686,0.6586308467833201,-0.4163308983875322,0.36473950933050475,0.3447684363199133,0.3775434110762999,0.26296740327770574,0.743754484624576,0.4892244287591837,-0.5632490487755902,-0.5162340282452231,-0.44304880159913795,-0.6429528207275815,-0.5449522709493198,-0.019793835180617905,-0.4064491814127574,-0.32767883058894637,0.8836242425967078,-0.1809803068249365,0.5227506449275366,0.52460701835066,0.8065213684635749,1.0,0.464255358768621
LNP_NAT,0.19943114852271124,0.5195014478183275,-0.37587621444334984,0.07025295041653744,0.11059170536742267,0.17742190947496292,-0.16999567347350752,0.24637886705328715,-0.011840694175218823,-0.1728736360358323,-0.8842999417935566,-0.9232057014238667,-0.8592942831624057,-0.8668847826691976,-0.7798058488613877,-0.692969194220955,-0.8386444343637506,0.547351550507735,0.7583490662172355,0.6725358583018567,0.8942399782937814,0.7919675998834351,0.464255358768621,1.0
